dateTime,passengersNumber,line,lineType
2019-05-01,4172.0,5,daily
2019-04-06,7330.0,5,daily
2019-04-05,10426.0,5,daily
2019-04-17,9134.0,5,daily
2019-04-21,3608.0,5,daily
2019-04-29,9139.0,5,daily
2019-04-19,4396.0,5,daily
2019-04-24,8277.0,5,daily
2019-05-07,9068.0,5,daily
2019-04-12,9530.0,5,daily
2019-04-16,9056.0,5,daily
2019-04-23,7473.0,5,daily
2019-05-02,9777.0,5,daily
2019-04-15,9050.0,5,daily
2019-04-07,3179.0,5,daily
2019-05-04,7565.0,5,daily
2019-04-27,6569.0,5,daily
2019-05-06,8799.0,5,daily
2019-04-13,7275.0,5,daily
2019-04-08,9618.0,5,daily
2019-04-14,5395.0,5,daily
2019-04-22,3573.0,5,daily
2019-04-30,10024.0,5,daily
2019-04-11,9887.0,5,daily
2019-05-03,10603.0,5,daily
2019-04-28,4877.0,5,daily
2019-04-20,6841.0,5,daily
2019-04-10,9974.0,5,daily
2019-04-26,7671.0,5,daily
2019-04-18,4243.0,5,daily
2019-04-25,8748.0,5,daily
2019-05-05,3642.0,5,daily
2019-05-17,9846.0,5,daily
2019-06-03,8488.0,5,daily
2019-06-07,9946.0,5,daily
2019-07-13,8264.0,5,daily
2019-08-01,9689.0,5,daily
2019-08-11,7801.0,5,daily
2019-08-16,11422.0,5,daily
2019-09-03,8898.0,5,daily
2019-09-04,8713.0,5,daily
2019-10-08,8768.0,5,daily
2019-10-13,5571.0,5,daily
2019-10-16,8019.0,5,daily
2019-10-20,3850.0,5,daily
2019-10-22,9860.0,5,daily
2019-10-23,10159.0,5,daily
2019-10-25,9770.0,5,daily
2019-11-11,9654.0,5,daily
2019-12-01,3584.0,5,daily
2019-12-07,8308.0,5,daily
2019-12-31,5736.0,5,daily
2020-01-25,7526.0,5,daily
2020-02-04,10074.0,5,daily
2020-02-09,4895.0,5,daily
2019-05-08,9386.0,5,daily
2019-05-13,8043.0,5,daily
2019-06-02,4388.0,5,daily
2019-06-20,9109.0,5,daily
2019-07-11,9804.0,5,daily
2019-07-15,9579.0,5,daily
2019-08-25,4742.0,5,daily
2019-08-25,4741.0,5,daily
2019-08-31,7928.0,5,daily
2019-09-14,8551.0,5,daily
2019-09-18,10037.0,5,daily
2019-10-03,10086.0,5,daily
2019-12-17,9943.0,5,daily
2020-03-12,7938.0,5,daily
2019-05-18,6780.0,5,daily
2019-06-16,4184.0,5,daily
2019-06-18,8822.0,5,daily
2019-07-06,7328.0,5,daily
2019-07-08,9203.0,5,daily
2019-07-17,9675.0,5,daily
2019-08-21,9396.0,5,daily
2019-08-29,9460.0,5,daily
2019-10-02,10454.0,5,daily
2019-10-14,9903.0,5,daily
2019-11-05,9253.0,5,daily
2019-11-16,7266.0,5,daily
2019-12-26,8743.0,5,daily
2020-02-07,9406.0,5,daily
2020-02-27,10117.0,5,daily
2020-02-29,7062.0,5,daily
2020-03-22,284.0,5,daily
2020-03-29,526.0,5,daily
2019-05-14,8727.0,5,daily
2019-06-25,8656.0,5,daily
2019-08-28,8898.0,5,daily
2019-10-06,4530.0,5,daily
2019-11-12,8945.0,5,daily
2019-11-26,9129.0,5,daily
2019-12-10,9254.0,5,daily
2019-12-20,10751.0,5,daily
2019-12-24,5690.0,5,daily
2020-01-09,8583.0,5,daily
2020-01-10,9307.0,5,daily
2020-01-15,6241.0,5,daily
2020-02-08,6973.0,5,daily
2019-05-10,9575.0,5,daily
2020-02-15,7585.0,5,daily
2020-03-15,563.0,5,daily
2019-05-16,9167.0,5,daily
2019-05-29,8727.0,5,daily
2019-08-26,9090.0,5,daily
2019-09-16,9294.0,5,daily
2019-10-10,9681.0,5,daily
2019-10-24,10153.0,5,daily
2019-11-12,8856.0,5,daily
2019-12-15,3773.0,5,daily
2019-12-22,3274.0,5,daily
2020-01-17,9863.0,5,daily
2020-01-20,6167.0,5,daily
2020-03-05,6897.0,5,daily
2019-05-19,3184.0,5,daily
2019-05-31,10006.0,5,daily
2019-06-05,9657.0,5,daily
2019-06-22,7089.0,5,daily
2019-08-08,10113.0,5,daily
2019-08-19,9528.0,5,daily
2019-09-09,9369.0,5,daily
2019-09-10,9968.0,5,daily
2019-09-11,9656.0,5,daily
2019-09-17,9482.0,5,daily
2019-09-19,9880.0,5,daily
2019-09-22,4719.0,5,daily
2019-09-23,9803.0,5,daily
2019-09-29,3908.0,5,daily
2019-10-01,9101.0,5,daily
2019-10-05,7234.0,5,daily
2019-10-26,7949.0,5,daily
2019-10-29,7820.0,5,daily
2019-11-03,2986.0,5,daily
2019-11-04,9487.0,5,daily
2019-11-22,9954.0,5,daily
2019-12-11,9882.0,5,daily
2020-01-14,2645.0,5,daily
2020-01-21,8259.0,5,daily
2020-01-22,10488.0,5,daily
2020-02-28,11418.0,5,daily
2020-03-09,8976.0,5,daily
2020-03-17,1865.0,5,daily
2020-03-25,1498.0,5,daily
2019-05-21,8428.0,5,daily
2019-06-17,8546.0,5,daily
2019-06-21,9554.0,5,daily
2019-06-27,9025.0,5,daily
2019-07-01,9112.0,5,daily
2019-07-10,9143.0,5,daily
2019-07-12,9758.0,5,daily
2019-07-21,4677.0,5,daily
2019-08-18,5590.0,5,daily
2019-08-22,9191.0,5,daily
2019-10-09,10157.0,5,daily
2019-10-19,7451.0,5,daily
2019-11-07,10516.0,5,daily
2019-12-02,9873.0,5,daily
2019-12-14,10048.0,5,daily
2019-12-16,8617.0,5,daily
2020-02-11,9921.0,5,daily
2020-02-14,9610.0,5,daily
2020-03-04,9048.0,5,daily
2020-03-21,770.0,5,daily
2019-07-16,9927.0,5,daily
2019-08-02,8636.0,5,daily
2019-08-04,5173.0,5,daily
2019-08-05,9485.0,5,daily
2019-08-13,11506.0,5,daily
2019-09-06,9160.0,5,daily
2019-09-08,6653.0,5,daily
2019-09-20,10558.0,5,daily
2019-11-20,8587.0,5,daily
2019-12-05,10180.0,5,daily
2019-12-18,10000.0,5,daily
2020-02-06,10115.0,5,daily
2020-02-17,9606.0,5,daily
2020-03-08,4032.0,5,daily
2020-03-14,2187.0,5,daily
2020-03-27,1552.0,5,daily
2019-05-25,7213.0,5,daily
2019-06-01,8786.0,5,daily
2019-06-04,8959.0,5,daily
2019-06-29,7549.0,5,daily
2019-07-18,9526.0,5,daily
2019-07-24,10928.0,5,daily
2019-07-27,8110.0,5,daily
2019-07-29,8986.0,5,daily
