"dateTime","weather","lineNumber","passengersNumber"
"2019-04-05",26,29,3032
"2019-04-05",26,42,418
"2019-04-05",26,40,2065
"2019-04-05",26,104,115
"2019-04-05",26,27,2900
"2019-04-05",26,28,13036
"2019-04-05",26,18,2145
"2019-04-05",26,41,1319
"2019-04-05",26,45,1820
"2019-04-05",26,19,1806
"2019-04-05",26,31,2873
"2019-04-05",26,102,25
"2019-04-05",26,103,79
"2019-04-05",26,106,113
"2019-04-05",26,23,945
"2019-04-05",26,17,6990
"2019-04-05",26,101,107
"2019-04-05",26,24,2745
"2019-04-05",26,21,1608
"2019-04-05",26,110,68
"2019-04-05",26,26,5295
"2019-04-05",26,108,291
"2019-04-05",26,33,4880
"2019-04-05",26,16,1000
"2019-04-05",26,14,4355
"2019-04-05",26,109,36
"2019-04-05",26,37,1064
"2019-04-05",26,35,659
"2019-04-05",26,36,1384
"2019-04-05",26,13,11659
"2019-04-05",26,46,181
"2019-04-05",26,25,4016
"2019-04-05",26,38,414
"2019-04-05",26,9,3651
"2019-04-05",26,32,752
"2019-04-05",26,43,355
"2019-04-05",26,6,66
"2019-04-05",26,5,10426
"2019-04-05",26,8,2392
"2019-04-06",25,31,1875
"2019-04-06",25,29,2464
"2019-04-06",25,28,9452
"2019-04-06",25,21,1580
"2019-04-06",25,17,3313
"2019-04-06",25,32,519
"2019-04-06",25,25,3302
"2019-04-06",25,23,594
"2019-04-06",25,110,278
"2019-04-06",25,24,1465
"2019-04-06",25,45,1134
"2019-04-06",25,26,4631
"2019-04-06",25,16,1241
"2019-04-06",25,109,118
"2019-04-06",25,18,1554
"2019-04-06",25,19,1641
"2019-04-06",25,33,2912
"2019-04-06",25,37,647
"2019-04-06",25,106,329
"2019-04-06",25,35,159
"2019-04-06",25,101,361
"2019-04-06",25,13,9210
"2019-04-06",25,42,445
"2019-04-06",25,38,230
"2019-04-06",25,14,2914
"2019-04-06",25,46,183
"2019-04-06",25,9,3106
"2019-04-06",25,27,1461
"2019-04-06",25,41,549
"2019-04-06",25,6,29
"2019-04-06",25,36,926
"2019-04-06",25,8,1886
"2019-04-06",25,5,7330
"2019-04-06",25,103,225
"2019-04-06",25,104,424
"2019-04-06",25,108,190
"2019-04-06",25,102,113
"2019-04-07",25,28,5641
"2019-04-07",25,5,3179
"2019-04-07",25,45,1054
"2019-04-07",25,18,815
"2019-04-07",25,27,263
"2019-04-07",25,31,585
"2019-04-07",25,6,29
"2019-04-07",25,41,276
"2019-04-07",25,29,1202
"2019-04-07",25,25,1170
"2019-04-07",25,17,2217
"2019-04-07",25,19,841
"2019-04-07",25,24,310
"2019-04-07",25,14,1409
"2019-04-07",25,26,1990
"2019-04-07",25,13,5321
"2019-04-07",25,46,100
"2019-04-07",25,8,1051
"2019-04-07",25,21,641
"2019-04-07",25,23,199
"2019-04-07",25,9,1807
"2019-04-07",25,32,242
"2019-04-07",25,36,476
"2019-04-07",25,33,1350
"2019-04-07",25,35,125
"2019-04-07",25,37,311
"2019-04-07",25,42,291
"2019-04-07",25,38,201
"2019-04-07",25,16,553
"2019-04-08",26,27,2994
"2019-04-08",26,40,2333
"2019-04-08",26,38,323
"2019-04-08",26,28,13204
"2019-04-08",26,26,4696
"2019-04-08",26,24,3024
"2019-04-08",26,36,1417
"2019-04-08",26,37,957
"2019-04-08",26,41,1135
"2019-04-08",26,5,9618
"2019-04-08",26,23,881
"2019-04-08",26,6,95
"2019-04-08",26,29,2755
"2019-04-08",26,35,748
"2019-04-08",26,46,171
"2019-04-08",26,17,7457
